Date : 2020-05-15 18:13:54
Directory : c:\Users\K-PC\GoogleDrive\GitHub\win-vind
Total : 225 files,  33060 codes, 1497 comments, 7088 blanks, all 41645 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\clipboard.hpp                                           | C++         |         24 |          0 |          8 |         32 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\external_app.hpp                                        | C++         |         14 |          0 |          4 |         18 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\filer.hpp                                               | C++         |         14 |          0 |          4 |         18 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\jump_cursor.hpp                                         | C++         |         44 |          0 |          9 |         53 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\move_cursor.hpp                                         | C++         |         60 |          0 |         24 |         84 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\pager.hpp                                               | C++         |         14 |          0 |          3 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\scroll.hpp                                              | C++         |        144 |          0 |         59 |        203 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\search_pattern.hpp                                      | C++         |          9 |          0 |          4 |         13 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\select.hpp                                              | C++         |          9 |          0 |          2 |         11 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\switch_taskview.hpp                                     | C++         |         14 |          0 |          4 |         18 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\undo.hpp                                                | C++         |         14 |          0 |          4 |         18 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\window_ctrl.hpp                                         | C++         |         65 |          0 |         13 |         78 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\msg_logger.hpp                                                   | C++         |         15 |          0 |          4 |         19 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\option_loader.hpp                                                | C++         |         22 |          0 |          7 |         29 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\options\autotrack_popup.hpp                                      | C++         |         22 |          0 |          9 |         31 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\options\display_cmd.hpp                                          | C++         |         18 |          0 |          6 |         24 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\path.hpp                                                         | C++         |         58 |          0 |         16 |         74 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\system.hpp                                                       | C++         |         10 |          0 |          4 |         14 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\win32gui\win32gui.hpp                                                   | C++         |          9 |          0 |          3 |         12 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\win32gui\win_notify_icon.hpp                                            | C++         |         48 |          0 |         15 |         63 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\wxgui\tbtest.h                                                          | C++         |         41 |         10 |         10 |         61 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\wxgui\wx_config_window.hpp                                              | C++         |         25 |          1 |         10 |         36 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\wxgui\wx_prop_dlg.hpp                                                   | C++         |         23 |          0 |          7 |         30 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\wxgui\wx_system_tray.hpp                                                | C++         |         22 |          0 |          7 |         29 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\wxgui\wxgui.hpp                                                         | C++         |         16 |          0 |          4 |         20 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\log\error.log                                                                   | Log         |          0 |          0 |          1 |          1 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\log\message.log                                                                 | Log         |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\pygui\build\main\xref-main.html                                                 | HTML        |      8,332 |          0 |      1,631 |      9,963 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\pygui\main.py                                                                   | Python      |         11 |          0 |          6 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\pygui\setup.py                                                                  | Python      |         21 |          0 |          1 |         22 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeCache.txt                                                          | CMake Cache |        563 |          0 |        134 |        697 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\3.14.4\CMakeCCompiler.cmake                                  | CMake       |         59 |          0 |         17 |         76 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\3.14.4\CMakeCXXCompiler.cmake                                | CMake       |         62 |          0 |         17 |         79 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\3.14.4\CMakeRCCompiler.cmake                                 | CMake       |          6 |          0 |          1 |          7 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\3.14.4\CMakeSystem.cmake                                     | CMake       |         10 |          0 |          6 |         16 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\3.14.4\CompilerIdCXX\CMakeCXXCompilerId.cpp                  | C++         |        478 |         54 |        107 |        639 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\3.14.4\CompilerIdC\CMakeCCompilerId.c                        | C           |        499 |         52 |        109 |        660 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\CMakeDirectoryInformation.cmake                              | CMake       |         12 |          0 |          5 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\CMakeOutput.log                                              | Log         |        899 |          0 |        257 |      1,156 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\Makefile.cmake                                               | CMake       |         61 |          0 |          6 |         67 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\feature_tests.c                                              | C           |         31 |          0 |          4 |         35 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\feature_tests.cxx                                            | C++         |        402 |          0 |          4 |        406 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\win-vind.dir\DependInfo.cmake                                | CMake       |         30 |          0 |          5 |         35 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CMakeFiles\win-vind.dir\cmake_clean.cmake                               | CMake       |         13 |          0 |          2 |         15 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CPackConfig.cmake                                                       | CMake       |         93 |          0 |          5 |         98 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\CPackSourceConfig.cmake                                                 | CMake       |        101 |          0 |          5 |        106 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\Makefile                                                                | Makefile    |        154 |         61 |         81 |        296 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\cmake_install.cmake                                                     | CMake       |         58 |          0 |         11 |         69 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\src\system\CMakeFiles\CMakeDirectoryInformation.cmake                   | CMake       |         12 |          0 |          5 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\src\system\CMakeFiles\CoreSystem.dir\DependInfo.cmake                   | CMake       |         67 |          0 |          5 |         72 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\src\system\CMakeFiles\CoreSystem.dir\cmake_clean.cmake                  | CMake       |         43 |          0 |          2 |         45 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\src\system\CMakeFiles\CoreSystem.dir\cmake_clean_target.cmake           | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\src\system\Makefile                                                     | Makefile    |        743 |        155 |        376 |      1,274 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\release\src\system\cmake_install.cmake                                          | CMake       |         29 |          0 |          6 |         35 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\binded_function.cpp                                           | C++         |         93 |         16 |         31 |        140 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\command.cpp                                                   | C++         |         85 |         12 |         22 |        119 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\dynamic_option.cpp                                            | C++         |         52 |          4 |         18 |         74 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\interval_timer.cpp                                            | C++         |         46 |          0 |         13 |         59 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\key_absorber.cpp                                              | C++         |        124 |         13 |         33 |        170 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\key_log.cpp                                                   | C++         |         99 |          1 |         29 |        129 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\key_logger.cpp                                                | C++         |        129 |          2 |         35 |        166 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\keybrd_eventer.cpp                                            | C++         |        118 |         11 |         25 |        154 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\mode_manager.cpp                                              | C++         |         11 |          0 |          3 |         14 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\mouse_eventer.cpp                                             | C++         |         78 |          0 |         16 |         94 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\text_analyzer.cpp                                             | C++         |         29 |         19 |         13 |         61 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\utility.cpp                                                   | C++         |         26 |          2 |          5 |         33 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\vkc_converter.cpp                                             | C++         |        167 |          2 |         28 |        197 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\common\xml_parser.cpp                                                | C++         |        215 |         19 |         48 |        282 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\editor_keybinds\edi_change_mode.cpp                                  | C++         |         69 |          6 |         19 |         94 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\editor_keybinds\edi_move_cursor.cpp                                  | C++         |        120 |         72 |         40 |        232 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\key_binder.cpp                                                       | C++         |        337 |         18 |         79 |        434 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\change_mode.cpp                                             | C++         |         84 |          8 |         25 |        117 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\click.cpp                                                   | C++         |         38 |          2 |          8 |         48 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\clipboard.cpp                                               | C++         |         94 |         10 |         33 |        137 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\external_app.cpp                                            | C++         |        117 |          5 |         33 |        155 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\filer.cpp                                                   | C++         |         19 |          2 |          6 |         27 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\jump_cursor.cpp                                             | C++         |        242 |         18 |         63 |        323 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\move_cursor.cpp                                             | C++         |        147 |          4 |         41 |        192 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\pager.cpp                                                   | C++         |         21 |          2 |          6 |         29 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\scroll.cpp                                                  | C++         |        260 |         12 |         94 |        366 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\search_pattern.cpp                                          | C++         |         16 |          1 |          3 |         20 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\select.cpp                                                  | C++         |         19 |          1 |          5 |         25 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\switch_taskview.cpp                                         | C++         |         27 |          2 |          8 |         37 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\undo.cpp                                                    | C++         |         31 |          2 |          7 |         40 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\keybinds\window_ctrl.cpp                                             | C++         |        199 |         16 |         52 |        267 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\option_loader.cpp                                                    | C++         |         46 |          2 |         16 |         64 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\options\autotrack_popup.cpp                                          | C++         |         62 |          0 |         15 |         77 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\options\display_cmd.cpp                                              | C++         |        195 |          1 |         34 |        230 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\system\system.cpp                                                           | C++         |         52 |          7 |         18 |         77 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\win32gui\main.cpp                                                           | C++         |         29 |          1 |          8 |         38 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\win32gui\win32gui.cpp                                                       | C++         |        332 |         20 |         63 |        415 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\main.cpp                                                              | C++         |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\tbtest.cpp                                                            | C++         |        168 |         45 |         55 |        268 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_config_window.cpp                                                  | C++         |         40 |          4 |         12 |         56 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_prop_dlg.cpp                                                       | C++         |        261 |         12 |         69 |        342 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wx_system_tray.cpp                                                    | C++         |         46 |          0 |         11 |         57 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\src\wxgui\wxgui.cpp                                                             | C++         |         56 |          7 |         16 |         79 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\wxFromBuilder\noname.cpp                                                        | C++         |         29 |          7 |         26 |         62 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\wxFromBuilder\noname.h                                                          | C++         |         23 |         10 |         12 |         45 |
| Total                                                                                                                     |             |     33,060 |      1,497 |      7,088 |     41,645 |
+---------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
